execucao,variante,token,N,condicao,posicao,k,etapa,ordem,direcao,funcao,seletor,operacao_governada,gas,status,motivo_reversao,tx_hash
2026-09-23T22-00-43-844Z_b1-b4,V1,,,B4,,,vote_repeat,2,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,37400,0,VM Exception while processing transaction: reverted with custom error 'GovernorAlreadyCastVote('0x14dC79964da2C08b23698B3D3cc7Ca32193d9955')',0x4f06703404d62f1d7bef5f5ab09efbd5c6a0171f16925d4f2387d2ae65d340cb
2026-09-23T22-00-43-844Z_b1-b4,V2,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T22-00-43-844Z_b1-b4,V2,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T22-00-43-844Z_b1-b4,V2,,,,,,deploy_governor_V2,,,constructor,0x6101e080,,2178840,1,,0x4bf3e985130af3a19145d52b19b5a44cf3c812ef7098ab4b07ce8c65d9546339
2026-09-23T22-00-43-844Z_b1-b4,V2,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0x0482dd737ad13e5cf9f342f77b7f4c8d4a60575e6613b501a7a433855227e65d
2026-09-23T22-00-43-844Z_b1-b4,V2,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0xbf6c6756b6e885a31717a4b56f3c4fc35da4780ca84e075711ea97189f58ea3d
2026-09-23T22-00-43-844Z_b1-b4,V2,,,setup,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xe4ed125ff7fcf34a784094393e69d7b32184f90f45a88cf0e398ac5fe2329d50
2026-09-23T22-00-43-844Z_b1-b4,V2,,,B1,,,delegate,,,,0x5c19a95c,,48347,1,,0x8e5cf2e817455991c3f88244f29b95e3c5703efb253d16587c3e019ace8ed4aa
2026-09-23T22-00-43-844Z_b1-b4,V2,,,B1,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63778,1,,0x686718ce2e9387eb1b77cbee81a4a6dbe58b420c8e8d20afae516602d1782561
2026-09-23T22-00-43-844Z_b1-b4,V2,,,B1,,,transfer_post_snapshot,,,,0xa9059cbb,,135972,1,,0x498a19a047b68fc8d7f26365de0ec236c2f5fa8e7e2df95d149547ae0c455615
2026-09-23T22-00-43-844Z_b1-b4,V2,,,B1,,,delegate_post_snapshot,,,,0x5c19a95c,,28424,1,,0x3c5bc6b36d172615c8d989cdddcb1f81821305c14650725ae286475674d6f632
2026-09-23T22-00-43-844Z_b1-b4,V2,,,B1,,,vote,1,for,castVote,0x56781388,WasteCategoryRegistry.updateCredits,62268,1,,0x267ce504d1e216b61037ea56fb9ce26cde0d90c5fec1a96e78ba99db31d56d3f
2026-09-23T22-00-43-844Z_b1-b4,V2,T1,,,,,deploy_token_T1,,,constructor,0x61016060,,1621017,1,,0x8a423d158719dafa7ff4b82bcd6f6a5661f61c993e6aaede0acbe21a849af082
2026-09-23T22-00-43-844Z_b1-b4,V2,,,,,,deploy_registry,,,constructor,0x60806040,,4590964,1,,0x9005486642112873086c0faf3a06ce7199e3377186a80eb6eea4235f5e1c6f56
2026-09-23T22-00-43-844Z_b1-b4,V2,,,,,,deploy_governor_V2,,,constructor,0x6101e080,,2178840,1,,0x4bf3e985130af3a19145d52b19b5a44cf3c812ef7098ab4b07ce8c65d9546339
2026-09-23T22-00-43-844Z_b1-b4,V2,,,,,,grant_admin_role,,,grantRole,0x2f2ff15d,,50799,1,,0x0482dd737ad13e5cf9f342f77b7f4c8d4a60575e6613b501a7a433855227e65d
2026-09-23T22-00-43-844Z_b1-b4,V2,,,,,,revoke_deployer_admin_role,,,revokeRole,0xd547741f,,27116,1,,0xbf6c6756b6e885a31717a4b56f3c4fc35da4780ca84e075711ea97189f58ea3d
2026-09-23T22-00-43-844Z_b1-b4,V2,,,setup,,,delegate_admin,,,,0x5c19a95c,,95559,1,,0xe4ed125ff7fcf34a784094393e69d7b32184f90f45a88cf0e398ac5fe2329d50
2026-09-23T22-00-43-844Z_b1-b4,V2,,,B2,,,delegate,,,,0x5c19a95c,,48335,1,,0x410b20aeca6c14180983c22a30db502fb48a2be103c968a0f7261747040dc5c0
2026-09-23T22-00-43-844Z_b1-b4,V2,,,B2,,,transfer,,,,0xa9059cbb,,135948,1,,0x5573c61e99ccb6dbe6e1999ba3302d28962246631547f18907ddc16ebc27c1d3
2026-09-23T22-00-43-844Z_b1-b4,V2,,,B2,,,propose,,,propose,0x7d5e81e2,WasteCategoryRegistry.updateCredits,63778,1,,0x7fa11ba3d197b66053a02caca3573b98c4f1a1382e25875f45cf3c28e46aba4b
